cvar,pheno_days,jday,An,gs,LA,group
0,53.916811424081295,190.03419415425643,19.253682421920892,0.15990938681192132,3010.6490348457546,2
3,45.806636553448946,172.17473208679186,21.42203349759314,0.177959070621807,2197.356938479596,1
4,89.77639985214203,168.36808284375334,18.3942022716005,0.12511820174190147,2073.7815618439054,9
5,30.431313258799282,182.64410727216116,16.65036680019291,0.1198216915177875,6758.514107098766,3
7,63.707092870665015,177.29752918060845,14.203264209162528,0.10563450014885928,4521.952976725873,2
8,67.219809785211,172.48539010012337,22.350242329431403,0.15305484025272095,1383.1760075457644,4
9,75.10446202945974,181.3046099298293,14.32766810162798,0.08374092648528433,5601.155312234361,0
12,38.30089841700479,184.86496165612314,17.144800847538058,0.17251540001284893,4846.031395307819,3
14,65.82527880500753,199.9690784896791,10.47842826434705,0.11917171273843545,6304.595317952472,7
15,42.31176546806991,161.55052593763972,22.468500893200538,0.34198038958687615,1363.7148607503595,6
16,71.81562879612524,197.42578161593832,12.612235907249048,0.15160304832572394,4644.268059067393,7
18,48.375673925756786,176.81897128376957,17.758284543685512,0.27590926504704266,3435.1162065014682,5
21,70.50922186630231,192.05573988723842,10.23379646093208,0.11938665142334529,7760.276910239083,7
24,60.54001094223675,202.3531177532378,12.473286243510753,0.13154249774078433,7296.053806516217,7
25,41.56876253268177,185.19911178039516,19.752460504893563,0.30219679016753326,3629.30743684769,5
28,68.33674408195454,175.35619674827632,19.256146064889933,0.24687990634292092,2060.962202841791,8
29,72.82324530650061,184.23029663712163,14.480888927219416,0.08696903822941596,3855.425938104918,2
30,68.96361221655883,192.28190227163336,14.960486963525295,0.13374515114353921,4682.6966031771435,2
35,37.938687109948496,170.88360007319613,18.928729524912754,0.2595313652874332,3233.8226711844186,5
38,67.41699267188531,203.91170039402508,13.489849943321712,0.07076329582448995,6027.34615325189,7
40,72.93986998378,165.72384365576465,20.41095579090369,0.2120401769785146,1435.0347556998045,8
42,85.4601488496298,175.10157985246488,12.70559250978231,0.09757607354572327,4750.433822529493,0
43,61.09129844513483,188.3410924770117,16.979485724564423,0.10567656699455519,2877.536751383885,2
44,70.77293803727657,166.75002722732376,21.45465249101135,0.10923956726701824,1399.0412098835461,4
46,96.56454922961566,171.7483390035598,13.717733899374801,0.11973190768458873,3799.2071548821377,0
48,60.813766055903066,164.47297125284885,20.248159947330414,0.23050285001083795,1674.4673289863956,8
50,48.85672487858294,172.28667702317452,19.199070376108576,0.10825214874002666,2513.3250109144765,1
52,36.97834476934115,192.36895732324209,17.895880277339337,0.2410262436574847,4637.19365891053,5
54,57.6424805617163,205.82132911791956,13.632936267141249,0.19918691694612997,5329.3712113493775,7
55,53.725742164498214,184.5087031520619,15.710947864007563,0.09224580234709794,5255.904592169031,2
57,72.26909978766356,158.99434318874378,22.65180202130408,0.21887245833339003,1074.797274953116,8
58,57.35503394672087,162.88235799108574,24.24355411939182,0.2260178746594596,1339.1993779907934,8
59,37.25782618166547,178.7362377071891,20.24734316757002,0.12287600572409628,2844.6817022009946,1
62,65.98759857350427,166.03404587024124,22.021106648336747,0.2614853477620635,1612.4761285540812,8
63,42.577989402650765,170.15301231439392,21.49848904503312,0.19124467146704882,2348.263040954451,1
65,92.8842701967527,169.66794042088088,19.738258275215138,0.15370418646999312,1802.943881272103,9
66,18.006527673479532,183.31974586002318,19.41225366821707,0.11327572490923973,7490.289659974004,3
73,68.88344201587189,198.20590765485295,12.854111564551404,0.13919742341542266,6429.593547760117,7
76,55.5969062127866,172.53595717647278,22.53078163062403,0.15072886344799316,1632.6261384479449,4
77,45.25993446025476,175.25222108117083,16.388098776785025,0.15318833210188382,4061.0822033114696,1
78,75.54078116429905,190.0344531466325,16.346233226957978,0.12046692912136893,3954.386751283947,2
79,47.50810414234415,192.45403181391146,15.351811020369194,0.13219531475114987,5747.753472041029,3
81,95.91377692476107,177.64188535687578,11.96779534154936,0.1315652016118983,4852.798538744739,0
84,60.902085428586794,170.07390822483603,21.800645137015255,0.1913795699064996,1761.8264257008932,4
85,28.754551489789257,188.65859424569274,19.136226925220758,0.10887215415943091,5064.177459817408,3
86,56.25241897374397,180.48778393113815,16.58060844037856,0.16153534572666287,3354.1422866896955,2
87,25.906550008903732,181.32963206326232,18.036071144182756,0.09593819630360348,4720.275627367016,3
88,86.87999785344688,189.84962002824764,12.567370886782374,0.09089339672287755,4948.32799629096,0
89,79.78956260035214,187.49124950786756,11.4716473820968,0.09396711615496708,7703.912847300644,7
90,93.04926276466789,171.34865539222022,16.26595251772166,0.208460604893283,3494.033328703533,9
